,embedding method,dimension,clustering method,modularity,permanence
0,../datasets/embedding_results/football_sparse_nb.txt,1.0,kmeans,0.243709566249,-0.258610054092
1,../datasets/embedding_results/football_sparse_nb.txt,1.0,agglomerative,0.264782352988,-0.199201912318
2,../datasets/embedding_results/football_sparse_nb.txt,2.0,kmeans,0.426993711562,-0.0117786405326
3,../datasets/embedding_results/football_sparse_nb.txt,2.0,agglomerative,0.470705406779,0.0598336108406
4,../datasets/embedding_results/football_sparse_nb.txt,3.0,kmeans,0.569699735742,0.213355554601
5,../datasets/embedding_results/football_sparse_nb.txt,3.0,agglomerative,0.568711096445,0.205687404243
6,../datasets/embedding_results/football_sparse_nb.txt,4.0,kmeans,0.577076608235,0.226974670642
7,../datasets/embedding_results/football_sparse_nb.txt,4.0,agglomerative,0.569705058161,0.229277999183
8,../datasets/embedding_results/football_sparse_nb.txt,5.0,kmeans,0.581487562838,0.254263532799
9,../datasets/embedding_results/football_sparse_nb.txt,5.0,agglomerative,0.573726145584,0.239677570557
10,../datasets/embedding_results/football_sparse_nb.txt,6.0,kmeans,0.594338543094,0.280433545101
11,../datasets/embedding_results/football_sparse_nb.txt,6.0,agglomerative,0.583326458542,0.26143547274
12,../datasets/embedding_results/football_sparse_nb.txt,7.0,kmeans,0.605511630816,0.314401052109
13,../datasets/embedding_results/football_sparse_nb.txt,7.0,agglomerative,0.611129443887,0.314935863269
14,../datasets/embedding_results/football_sparse_nb.txt,8.0,kmeans,0.600255742225,0.320701838804
15,../datasets/embedding_results/football_sparse_nb.txt,8.0,agglomerative,0.608694437274,0.329272579972
16,../datasets/embedding_results/football_sparse_nb.txt,9.0,kmeans,0.592775082564,0.292298904974
17,../datasets/embedding_results/football_sparse_nb.txt,9.0,agglomerative,0.597357685174,0.302319989889
18,../datasets/embedding_results/football_sparse_nb.txt,10.0,kmeans,0.610956465275,0.306105503682
19,../datasets/embedding_results/football_sparse_nb.txt,10.0,agglomerative,0.59946004061,0.284429253376
20,../datasets/embedding_results/football_sparse_nb.txt,11.0,kmeans,0.611818697125,0.318965265219
21,../datasets/embedding_results/football_sparse_nb.txt,11.0,agglomerative,0.607672532859,0.304599598469
22,../datasets/embedding_results/football_sparse_nb.txt,12.0,kmeans,0.607672532859,0.304599598469
23,../datasets/embedding_results/football_sparse_nb.txt,12.0,agglomerative,0.611818697125,0.318965265219
24,../datasets/embedding_results/football_sparse_nb.txt,13.0,kmeans,0.611736199633,0.310078518555
25,../datasets/embedding_results/football_sparse_nb.txt,13.0,agglomerative,0.610304468969,0.318078150303
26,../datasets/embedding_results/football_sparse_nb.txt,14.0,kmeans,0.611818697125,0.318965265219
27,../datasets/embedding_results/football_sparse_nb.txt,14.0,agglomerative,0.610304468969,0.318078150303
28,../datasets/embedding_results/football_sparse_nb.txt,20.0,kmeans,0.568322559871,0.291353542628
29,../datasets/embedding_results/football_sparse_nb.txt,20.0,agglomerative,0.607004569297,0.298808619092
30,../datasets/embedding_results/football_sparse_nb.txt,30.0,kmeans,0.569709049975,0.259333186033
31,../datasets/embedding_results/football_sparse_nb.txt,30.0,agglomerative,0.602206408725,0.311263484608
32,../datasets/embedding_results/football_sparse_nb.txt,40.0,kmeans,0.547385494812,0.254685672232
33,../datasets/embedding_results/football_sparse_nb.txt,40.0,agglomerative,0.476082380399,0.12163259633
34,../datasets/embedding_results/football_sparse_nb.txt,50.0,kmeans,0.47419425232,0.0955520821683
35,../datasets/embedding_results/football_sparse_nb.txt,50.0,agglomerative,0.344647908689,-0.145294560512
36,../datasets/embedding_results/football_sparse_nb.txt,100.0,kmeans,0.512590181734,0.148738663983
37,../datasets/embedding_results/football_sparse_nb.txt,100.0,agglomerative,0.344647908689,-0.145294560512
38,../datasets/embedding_results/football_sparse_ua.txt,1.0,kmeans,0.243709566249,-0.258610054092
39,../datasets/embedding_results/football_sparse_ua.txt,1.0,agglomerative,0.23629410622,-0.270262402447
40,../datasets/embedding_results/football_sparse_ua.txt,2.0,kmeans,0.472054639952,0.0280343854423
41,../datasets/embedding_results/football_sparse_ua.txt,2.0,agglomerative,0.461808983711,0.0321699972995
42,../datasets/embedding_results/football_sparse_ua.txt,3.0,kmeans,0.57728418257,0.21726064816
43,../datasets/embedding_results/football_sparse_ua.txt,3.0,agglomerative,0.568711096445,0.205687404243
44,../datasets/embedding_results/football_sparse_ua.txt,4.0,kmeans,0.577076608235,0.226974670642
45,../datasets/embedding_results/football_sparse_ua.txt,4.0,agglomerative,0.582506806043,0.256120772038
46,../datasets/embedding_results/football_sparse_ua.txt,5.0,kmeans,0.581487562838,0.254263532799
47,../datasets/embedding_results/football_sparse_ua.txt,5.0,agglomerative,0.573726145584,0.239677570557
48,../datasets/embedding_results/football_sparse_ua.txt,6.0,kmeans,0.594338543094,0.280433545101
49,../datasets/embedding_results/football_sparse_ua.txt,6.0,agglomerative,0.583326458542,0.26143547274
50,../datasets/embedding_results/football_sparse_ua.txt,7.0,kmeans,0.605511630816,0.314401052109
51,../datasets/embedding_results/football_sparse_ua.txt,7.0,agglomerative,0.611129443887,0.314935863269
52,../datasets/embedding_results/football_sparse_ua.txt,8.0,kmeans,0.600255742225,0.320701838804
53,../datasets/embedding_results/football_sparse_ua.txt,8.0,agglomerative,0.608694437274,0.329272579972
54,../datasets/embedding_results/football_sparse_ua.txt,9.0,kmeans,0.592775082564,0.292298904974
55,../datasets/embedding_results/football_sparse_ua.txt,9.0,agglomerative,0.597357685174,0.302319989889
56,../datasets/embedding_results/football_sparse_ua.txt,10.0,kmeans,0.610956465275,0.306105503682
57,../datasets/embedding_results/football_sparse_ua.txt,10.0,agglomerative,0.599917768629,0.294443849331
58,../datasets/embedding_results/football_sparse_ua.txt,11.0,kmeans,0.601519816696,0.311377951811
59,../datasets/embedding_results/football_sparse_ua.txt,11.0,agglomerative,0.592309370917,0.281873783292
60,../datasets/embedding_results/football_sparse_ua.txt,12.0,kmeans,0.606895459711,0.316790727056
61,../datasets/embedding_results/football_sparse_ua.txt,12.0,agglomerative,0.577944162504,0.278541786576
62,../datasets/embedding_results/football_sparse_ua.txt,13.0,kmeans,0.582195444542,0.258404480033
63,../datasets/embedding_results/football_sparse_ua.txt,13.0,agglomerative,0.603547658269,0.300297929334
64,../datasets/embedding_results/football_sparse_ua.txt,14.0,kmeans,0.569848763469,0.294108336493
65,../datasets/embedding_results/football_sparse_ua.txt,14.0,agglomerative,0.603853697351,0.323457439186
66,../datasets/embedding_results/football_sparse_ua.txt,20.0,kmeans,0.508792635901,0.222122329152
67,../datasets/embedding_results/football_sparse_ua.txt,20.0,agglomerative,0.570058999013,0.290472326106
68,../datasets/embedding_results/football_sparse_ua.txt,30.0,kmeans,0.409042523465,0.109752549803
69,../datasets/embedding_results/football_sparse_ua.txt,30.0,agglomerative,0.496453938457,0.205791907735
70,../datasets/embedding_results/football_sparse_ua.txt,40.0,kmeans,0.249839662133,-0.149601508741
71,../datasets/embedding_results/football_sparse_ua.txt,40.0,agglomerative,0.278250733828,-0.267204657794
72,../datasets/embedding_results/football_sparse_ua.txt,50.0,kmeans,0.131176334397,-0.323243988631
73,../datasets/embedding_results/football_sparse_ua.txt,50.0,agglomerative,0.158407159718,-0.331322092107
74,../datasets/embedding_results/football_sparse_ua.txt,100.0,kmeans,0.192811275012,-0.303391694422
75,../datasets/embedding_results/football_sparse_ua.txt,100.0,agglomerative,0.158407159718,-0.331322092107
